"Portal","Job Title","Company","URL","About the job","Pay","Location","Summary","Requirements","Responsibilities","Benefits","Scraped At"
"USAJOBS","INVENTORY MANAGEMENT SPECIALIST","U.S. Pacific Fleet","https://www.usajobs.gov:443/job/879584800","You will serve as a INVENTORY MANAGEMENT SPECIALIST in the AD&C LOGISTICS SUPPORT of NMC CWD DET SEAL BEACH.","$58827-$93549 PA","Seal Beach, California","You will serve as a INVENTORY MANAGEMENT SPECIALIST in the AD&C LOGISTICS SUPPORT of NMC CWD DET SEAL BEACH.","","","","2026-08-10T09:31:30.526931+00:00"
"USAJOBS","GUEST SERVICES REPRESENTATIVE (MCGUIRE)","Air Mobility Command","https://www.usajobs.gov:443/job/835811200","About the position: This position is Non-appropriated Fund (NAF) and will be assigned to the All American Inn, McGuire AFB, NJ.","$15.92-$15.92 PH","McGuire AFB, New Jersey","About the position: This position is Non-appropriated Fund (NAF) and will be assigned to the All American Inn, McGuire AFB, NJ.","","","","2026-08-10T09:31:30.527917+00:00"
"USAJOBS","GUEST SERVICES REPRESENTATIVES","U.S. Air Force Academy","https://www.usajobs.gov:443/job/876926900","About the position: This position is Non-appropriated Fund (NAF) and will be assigned to the Rampart Lodge, Air Force Academy, Colorado. This position does include benefits.","$16.03-$16.03 PH","Air Force Academy, Colorado","About the position: This position is Non-appropriated Fund (NAF) and will be assigned to the Rampart Lodge, Air Force Academy, Colorado. This position does include benefits.","","","","2026-08-10T09:31:30.528334+00:00"
"USAJOBS","GUEST SERVICES REPRESENTATIVES","U.S. Air Forces, Europe","https://www.usajobs.gov:443/job/878194400","About the position: This position is located at the Shepherd's Rest Inn, RAF Croughton, UK. Successful completion and favorable adjudication of applicable background investigation (Tier 1 Level) is required.","$15.71-$15.71 PH","Croughton, United Kingdom","About the position: This position is located at the Shepherd's Rest Inn, RAF Croughton, UK. Successful completion and favorable adjudication of applicable background investigation (Tier 1 Level) is required.","","","","2026-08-10T09:31:30.528827+00:00"
"USAJOBS","Guest Services Representative","Air Education and Training Command","https://www.usajobs.gov:443/job/878538200","This position will be assigned to the JBSA Randolph Lodging Facility. This is a regular part-time category position with guaranteed 20 hours per week, may work up to 40 hrs/week. Employees appointed to regular category positions are eligible for benefits.","$15.5-$15.5 PH","Randolph AFB, Texas","This position will be assigned to the JBSA Randolph Lodging Facility. This is a regular part-time category position with guaranteed 20 hours per week, may work up to 40 hrs/week. Employees appointed to regular category positions are eligible for benefits.","","","","2026-08-10T09:31:30.529389+00:00"
"USAJOBS","Barista A02","U.S. Marine Corps","https://www.usajobs.gov:443/job/878612400","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","$17.97-$17.97 PH","Quantico, Virginia","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","","","","2026-08-10T09:31:30.530088+00:00"
"USAJOBS","Food Service Worker","Commander, Navy Installations Command","https://www.usajobs.gov:443/job/878964800","Support the Military's Quality of Life programs! The Morale, Welfare, and Recreation (MWR) department of Commander, Navy Installations Command (CNIC) provides fitness, recreation, lodging and food and beverage programs for service members, their families, retired military and civilian employees. This position is located at Naval Station Everett Food & Beverage. Seeking to fill 2 flexible and 2 part-time positions *Weekly review of applicants*","$22.76-$26.55 PH","Everett, Washington","Support the Military's Quality of Life programs! The Morale, Welfare, and Recreation (MWR) department of Commander, Navy Installations Command (CNIC) provides fitness, recreation, lodging and food and beverage programs for service members, their families, retired military and civilian employees. This position is located at Naval Station Everett Food & Beverage. Seeking to fill 2 flexible and 2 part-time positions *Weekly review of applicants*","","","","2026-08-10T09:31:30.531098+00:00"
"USAJOBS","Business Financial Analyst","Architect of the Capitol","https://www.usajobs.gov:443/job/878965600","This position is located in the Architect of the Capitol (AOC), Office of the Chief Executive Officer for Visitor Services, Capitol Visitor Center. The Business Financial Analyst serves as principal advisor, and provides expert level financial management, budget formulation/execution, and advisory services to senior leadership.","$121785-$158322 PA","Washington, District of Columbia","This position is located in the Architect of the Capitol (AOC), Office of the Chief Executive Officer for Visitor Services, Capitol Visitor Center. The Business Financial Analyst serves as principal advisor, and provides expert level financial management, budget formulation/execution, and advisory services to senior leadership.","","","","2026-08-10T09:31:30.532360+00:00"
"USAJOBS","Assistant Manager","Pacific Air Forces","https://www.usajobs.gov:443/job/879092000","About the position: This position is Non-appropriated Fund (NAF) and is located at the Chili's Grill and Bar on Kadena Air Base in Okinawa, Japan.","$18.33-$25 PH","Kadena Air Base Okinawa, Japan","About the position: This position is Non-appropriated Fund (NAF) and is located at the Chili's Grill and Bar on Kadena Air Base in Okinawa, Japan.","","","","2026-08-10T09:31:30.533130+00:00"
"USAJOBS","Concessions Management Specialist - FUL","National Park Service","https://www.usajobs.gov:443/job/879162800","This position is located inJoshua Tree National Park, in the Division of Visitor and Resource Protection.","$71957-$113185 PA","Twentynine Palms, California","This position is located inJoshua Tree National Park, in the Division of Visitor and Resource Protection.","","","","2026-08-10T09:31:30.533565+00:00"
"USAJOBS","IT SPECIALIST (NETWORK) (TITLE 32)","Air National Guard Units","https://www.usajobs.gov:443/job/879538700","THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a IT SPECIALIST (NETWORK) (TITLE 32), Position Description Number D2181P01 and is part of the FL 125th FW, National Guard.","$68545-$97867 PA","Jacksonville, Florida","THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a IT SPECIALIST (NETWORK) (TITLE 32), Position Description Number D2181P01 and is part of the FL 125th FW, National Guard.","","","","2026-08-10T09:31:30.533963+00:00"
"USAJOBS","Legal Administrative Specialist (Financial Litigation)","Executive Office for U.S. Attorneys and the Office of the U.S. Attorneys","https://www.usajobs.gov:443/job/879745800","For more information on the Department of Justice and the United States Attorneys' Offices, visit http://www.justice.gov/usao/. As needed, additional positions may be filled using this announcement.","$68999-$108533 PA","Chicago, Illinois","For more information on the Department of Justice and the United States Attorneys' Offices, visit http://www.justice.gov/usao/. As needed, additional positions may be filled using this announcement.","","","","2026-08-10T09:31:30.534602+00:00"
"USAJOBS","ASSISTANT BUYER NF3","U.S. Marine Corps","https://www.usajobs.gov:443/job/879501000","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","$50000-$60000 PA","Quantico, Virginia","Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively.","","","","2026-08-10T09:31:30.535284+00:00"
"USAJOBS","Assistant Bowling Center Manager","U.S. Air Forces, Europe","https://www.usajobs.gov:443/job/875645400","About the position: This is a Regular Part Time category position located at the Spartan Lanes Bowling Center, 423d Force Support Squadron, RAF Alconbury, United Kingdom. This position offers 32 guaranteed hours per week, but the incumbent may be required to work 32-40 hours per week, as needed. This position also offers benefits, such as 401K, Health & Life Insurance Coverage and Retirement Coverage.","$18-$22 PH","Alconbury, United Kingdom","About the position: This is a Regular Part Time category position located at the Spartan Lanes Bowling Center, 423d Force Support Squadron, RAF Alconbury, United Kingdom. This position offers 32 guaranteed hours per week, but the incumbent may be required to work 32-40 hours per week, as needed. This position also offers benefits, such as 401K, Health & Life Insurance Coverage and Retirement Coverage.","","","","2026-08-10T09:31:30.536326+00:00"
